이름,주행,가격,거주성,품질,디자인,연비,평균점수
아우디 SQ5 스포트백,9.8,8.8,9.2,9.6,9.8,7,9
아우디 SQ5,8.9,9.1,9.9,9,8.9,9.9,9.3
아우디 Q2,9,7.9,8.1,7.5,9.1,9.7,8.6
아우디 A8,9.8,9.7,9.9,9.3,9.8,9.2,9.6
메르세데스-벤츠 EQS SUV,9.8,9.1,10,10,9.8,10,9.8
메르세데스-벤츠 EQA,9.9,9.1,9.2,9.8,9.8,8.6,9.4
지프 그랜드 체로키 4XE,9.7,9.4,9.7,9,9.7,7.1,9.1
지프 그랜드 체로키,9.9,9.3,9.8,9.8,8.8,9.2,9.5
아우디 S3 세단,9.8,9,9,9.5,10,8.5,9.3
아우디 RS7,10,10,9.3,10,10,6.7,9.3
아우디 RS6 아반트,9.9,9,8.9,9.9,8.9,8.7,9.2
링컨 에비에이터,9.8,9.5,9.6,8.9,9.7,7.5,9.2
지프 글래디에이터,9.1,7.6,8.3,8.4,9.9,6.4,8.3
지프 그랜드 체로키 L,9.8,9.2,9.8,9.1,9.9,7.2,9.2
아우디 e-트론 스포트백,9.7,9.4,9.7,9,9.7,7.1,9.1
아우디 e-트론,8.9,9.1,9.9,9,8.9,9.9,9.3
아우디 A5,9.7,8.6,8,9.3,9.9,7.7,8.9
아우디 A3 세단,9.7,8.3,9,9.3,9.7,9,9.2
메르세데스-벤츠 AMG EQS,9.9,7.7,9.5,9.7,8.9,9.4,9.2
마세라티 그레칼레,10,8.8,9.5,9.8,9.8,8.5,9.4
롤스로이스 팬텀 EWB,9.1,9.1,8.3,8.9,7.3,9.5,8.7
롤스로이스 팬텀,9.8,9.1,10,10,9.8,10,9.8
람보르기니 우루스 S,9.9,8.7,9.7,9.4,10,7.4,9.2
현대 그랜저 하이브리드,9.4,7,9.4,8.8,9,9.2,8.8
현대 그랜저,9.3,7.5,9.3,8.8,9.2,8.1,8.7
페라리 푸로산게,9.8,9.5,9.6,8.9,9.7,7.5,9.2
아우디 S6,9.9,8.1,8.5,8.6,9.5,7.6,8.7
아우디 S4,9.8,8.3,8.3,9.2,9.7,7.3,8.8
아우디 Q5 스포트백,9.7,9,9,9.3,9.5,8.5,9.2
아우디 Q5,9,7.9,8.1,7.5,9.1,9.7,8.6
아우디 A8 L,9.9,7.7,9.5,9.7,8.9,9.4,9.2
아우디 A6,9.6,9.4,9.2,9,9.7,9.1,9.3
아우디 A5 스포트백,9.5,9.1,9.2,9.6,9.2,9.5,9.4
아우디 A4,9.4,7,9.4,8.8,9,9.2,8.8
현대 베뉴,9.1,9.1,8.6,8.6,9.4,8.9,9
메르세데스-벤츠 EQB,9.6,8,9.2,9.2,9.4,8.4,9
기아 EV6 GT,9.7,7.7,8.9,8.9,9.6,8.5,8.9
아우디 S5 스포트백,9.8,7.6,7.8,9,10,7.6,8.6
아우디 S5,9.6,9.4,9.2,9,9.7,9.1,9.3
혼다 오딧세이,9.8,8.6,9.7,9.1,8.5,6.9,8.8
쉐보레 트래버스,9.8,8.4,9.6,9,9.7,7.5,9
메르세데스-벤츠 EQS,9.9,8.7,9.7,9.4,10,7.4,9.2
메르세데스-벤츠 AMG GT 4도어 쿠페,9.7,8.3,9,9.3,9.7,9,9.2
람보르기니 우루스 퍼포만테,9.9,8.7,9.7,9.4,10,7.4,9.2
